Unnamed: 0,ListingKeyNumeric *,OriginatingSystemKey,ListingID,Geography,MLSAreaMajor,SubdivisionName,ElementarySchool,MiddleOrJuniorSchool,HighSchool,ClosePrice,LotSizeAcres,BuildingAreaTotal,YearBuilt,BasementYN,BathroomsTotalInteger,BathroomsFull,BathroomsHalf,WaterfrontYN,WaterfrontFeatures,PoolPrivateYN,GarageYN,AttachedGarageYN,CarportYN,GarageSpaces,FireplaceYN,FireplacesTotal,LivingArea,Stories,BedroomsTotal,CloseDate,Close_Year,Close_Month,ElemRating,MidRating
2762,526224243,10209663,144750,Midtown,(02) Central Tuscaloosa City,South Highlands,Skyland,Eastwood,Bryant,169900,0,1635,1965,0,2,2,0,0,,0,1,1,0,0,1,0,1635,1,3,7/30/2021,2021,7,4,4
2763,526255354,10210567,144778,Northport City,(06) Northport City,Northwood Forest,Vestavia,Collins Riverside,Tuscaloosa County,279900,0,1984,1988,0,2,2,0,0,,0,1,1,0,2,0,0,1984,1,4,7/29/2021,2021,7,7,3
2764,526340810,10211485,144805,South Tuscaloosa,(11) South Tuscaloosa County,Magnolia Park At Englewood,Englewood,Hillcrest Jr,Hillcrest,296900,0.28,2336,2002,0,3,2.5,0.5,0,,1,1,1,0,2,1,0,2336,1,4,8/6/2021,2021,8,6,5
2765,529116938,10212506,144838,South Tuscaloosa,(11) South Tuscaloosa County,Mallard Creek,Englewood,Hillcrest Jr,Hillcrest,266000,0,2091,1993,0,2,2,0,0,,0,1,1,0,0,1,0,2091,1,3,8/13/2021,2021,8,6,5
2766,529225229,10207789,144693,Northport City,(06) Northport City,Vestavia Hills,Vestavia,Collins Riverside,Tuscaloosa County,245000,0.46,1991,1975,0,2,2,0,0,,0,0,0,1,0,1,0,1991,0,3,8/10/2021,2021,8,7,3
2767,529276605,10214545,144915,Northport City,(06) Northport City,Moore's Bridge Gardens,Flatwoods,Collins Riverside,Tuscaloosa County,239900,0,1542,2016,0,2,2,0,0,,0,1,1,0,2,1,1,1542,1,3,8/20/2021,2021,8,4,3
2768,529367221,10215074,144943,North of River,(01) North of the River City,Indian Hills,Verner,Northridge,Northridge,580000,0,4403,1964,1,5,4.5,0.5,1,,0,0,0,0,0,1,0,4403,2,5,2/28/2022,2022,2,7,6
2769,529434940,10216159,144971,South Tuscaloosa,(11) South Tuscaloosa County,Southridge,Englewood,Hillcrest Jr,Hillcrest,305000,0,2501,1997,0,3,3,0,0,,0,1,1,0,2,1,0,2501,1,4,8/26/2021,2021,8,6,5
2770,529487424,10217175,145002,North of River,(01) North of the River City,Acadian Place,Rock Quarry,Northside,Northside,339900,0,2075,2012,0,3,3,0,0,,0,0,0,0,0,1,0,2075,0,4,8/20/2021,2021,8,9,6
2771,529499374,10217525,145013,County South,(11) South Tuscaloosa County,Cherokee Bend,Englewood,Hillcrest Jr,Hillcrest,195930,0,1143,2021,0,2,2,0,0,,0,1,1,0,2,0,0,1143,1,3,10/28/2021,2021,10,6,5
